stratum,age_band,position,scenario,n_stay,n_moved,mu_stay,sigma_stay,mu_moved,sigma_moved,V0,mean_VT,median_VT,p10_VT,p90_VT,prob_down
21-24_DEF,21-24,DEF,stay_6m,1562,340,0.043344,0.103365,0.047872,0.103987,2.0,2.6793947236421882,2.615002365965492,1.8726131177145717,3.6256697228148895,0.161
21-24_DEF,21-24,DEF,move_6m,1562,340,0.043344,0.103365,0.047872,0.103987,2.0,2.735543714737615,2.656377803639667,1.8453457529471726,3.697273941522181,0.155
21-24_DEF,21-24,DEF,stay_3m_move_3m,1562,340,0.043344,0.103365,0.047872,0.103987,2.0,2.710255213489946,2.621866766062136,1.899303187254549,3.6937880137096895,0.142
21-24_FWD,21-24,FWD,stay_6m,1354,348,0.039488,0.112655,0.055233,0.129902,2.0,2.633684003100432,2.557046406813264,1.7769714563988461,3.6509810175802957,0.196
21-24_FWD,21-24,FWD,move_6m,1354,348,0.039488,0.112655,0.055233,0.129902,2.0,2.907834172698442,2.7739665730926717,1.7597884608670529,4.1925481160016345,0.166
21-24_FWD,21-24,FWD,stay_3m_move_3m,1354,348,0.039488,0.112655,0.055233,0.129902,2.0,2.770359045767804,2.6354073102436253,1.8121849635508223,3.9836373594195384,0.166
21-24_MID,21-24,MID,stay_6m,1237,285,0.037288,0.093443,0.040377,0.119024,2.0,2.5688692822035746,2.5197404907952508,1.863170663119953,3.385707579673345,0.175
21-24_MID,21-24,MID,move_6m,1237,285,0.037288,0.093443,0.040377,0.119024,2.0,2.639713597695628,2.538312688507089,1.6728415924309856,3.7059617638753855,0.226
21-24_MID,21-24,MID,stay_3m_move_3m,1237,285,0.037288,0.093443,0.040377,0.119024,2.0,2.6059756918635766,2.4944338436924474,1.7987618181233567,3.5900547203567843,0.18
U21_DEF,U21,DEF,stay_6m,1127,343,0.102174,0.161462,0.123064,0.286643,2.0,3.9894194527159907,3.738826185436486,2.2192156833854026,6.2289718310096305,0.059
U21_DEF,U21,DEF,move_6m,1127,343,0.102174,0.161462,0.123064,0.286643,2.0,5.276805252229162,4.145885596154263,1.5188015869503944,10.314109422006972,0.166
U21_DEF,U21,DEF,stay_3m_move_3m,1127,343,0.102174,0.161462,0.123064,0.286643,2.0,4.58923918733802,3.8320975762760643,1.9379576893662818,8.246013349612891,0.116
U21_FWD,U21,FWD,stay_6m,1063,358,0.104936,0.185538,0.103614,0.154282,2.0,4.155438706974307,3.808439868583285,2.0913755654490327,6.846736471292229,0.08
U21_FWD,U21,FWD,move_6m,1063,358,0.104936,0.185538,0.103614,0.154282,2.0,3.9644391101055336,3.7052973510596194,2.1581870320516146,6.051531711284305,0.064
U21_FWD,U21,FWD,stay_3m_move_3m,1063,358,0.104936,0.185538,0.103614,0.154282,2.0,4.071929595425722,3.685217747276605,2.1871838680365663,6.552148297281907,0.077
U21_MID,U21,MID,stay_6m,1051,291,0.108428,0.180369,0.113652,0.154216,2.0,4.22029386011251,3.8875100875267026,2.1707444995326033,6.875609468916751,0.067
U21_MID,U21,MID,move_6m,1051,291,0.108428,0.180369,0.113652,0.154216,2.0,4.210301408035224,3.9353258240017475,2.292699438498982,6.425868088666697,0.048
U21_MID,U21,MID,stay_3m_move_3m,1051,291,0.108428,0.180369,0.113652,0.154216,2.0,4.22801442565927,3.8459553606185715,2.3123277890930374,6.79729829354461,0.07
25-28_DEF,25-28,DEF,stay_6m,844,133,0.005813,0.074948,0.012658,0.076939,2.0,2.1071358088203413,2.083116008535047,1.6351563607822928,2.6400622457255176,0.409
25-28_DEF,25-28,DEF,move_6m,844,133,0.005813,0.074948,0.012658,0.076939,2.0,2.185435871934596,2.1523664182611313,1.6438288025998533,2.74889673782714,0.345
25-28_DEF,25-28,DEF,stay_3m_move_3m,844,133,0.005813,0.074948,0.012658,0.076939,2.0,2.1473735871972677,2.108831508973115,1.665798588400409,2.7119904198991107,0.385
25-28_FWD,25-28,FWD,stay_6m,677,139,0.004487,0.076229,-0.000313,0.085106,2.0,2.091650361583125,2.066814771742103,1.6156605067309078,2.630031986623976,0.428
25-28_FWD,25-28,FWD,move_6m,677,139,0.004487,0.076229,-0.000313,0.085106,2.0,2.0289263419443566,1.9906747222790364,1.4774572067867877,2.609276031870437,0.509
25-28_FWD,25-28,FWD,stay_3m_move_3m,677,139,0.004487,0.076229,-0.000313,0.085106,2.0,2.0613989860829967,2.0181534322311774,1.569976020772831,2.64614495256367,0.486
25-28_MID,25-28,MID,stay_6m,670,106,0.004525,0.071454,-0.003463,0.073388,2.0,2.087710907314976,2.066517067482362,1.6405406999503584,2.590255350617239,0.425
25-28_MID,25-28,MID,move_6m,670,106,0.004525,0.071454,-0.003463,0.073388,2.0,1.981172925590013,1.9541562911613566,1.5111319221252009,2.467732440643088,0.55
25-28_MID,25-28,MID,stay_3m_move_3m,670,106,0.004525,0.071454,-0.003463,0.073388,2.0,2.0350260792877166,2.001791865153464,1.5985867384269328,2.5445484766053914,0.497
21-24_GK,21-24,GK,stay_6m,495,145,0.035339,0.127382,0.017389,0.073064,2.0,2.595789623826271,2.4970407207175374,1.65464590208106,3.7352200488320313,0.244
21-24_GK,21-24,GK,move_6m,495,145,0.035339,0.127382,0.017389,0.073064,2.0,2.244936410624491,2.214620768122801,1.714491776468633,2.7937706077480646,0.297
21-24_GK,21-24,GK,stay_3m_move_3m,495,145,0.035339,0.127382,0.017389,0.073064,2.0,2.418429674913229,2.3353170414233824,1.6860907526881266,3.2941212126243395,0.265
25-28_GK,25-28,GK,stay_6m,392,86,0.014494,0.075594,0.016374,0.091154,2.0,2.2204431712264587,2.194603050745922,1.7190774913504434,2.7870426946328584,0.312
25-28_GK,25-28,GK,move_6m,392,86,0.014494,0.075594,0.016374,0.091154,2.0,2.2490324187800206,2.1998671720644825,1.5984876059623165,2.939460567889763,0.332
25-28_GK,25-28,GK,stay_3m_move_3m,392,86,0.014494,0.075594,0.016374,0.091154,2.0,2.236051307381578,2.1761402545566,1.6836322604302394,2.8927490238689666,0.32
29+_GK,29+,GK,stay_6m,360,34,-0.015239,0.055294,-0.022803,0.077462,2.0,1.8428442755852483,1.8331237632898385,1.5332491694203436,2.183274358976622,0.741
29+_GK,29+,GK,move_6m,360,34,-0.015239,0.055294,-0.022803,0.077462,2.0,1.7669627983545944,1.7398253204557403,1.3263260556203866,2.2257175825821567,0.765
29+_GK,29+,GK,stay_3m_move_3m,360,34,-0.015239,0.055294,-0.022803,0.077462,2.0,1.8051707112496203,1.771696649644815,1.4453460717946855,2.2213673102512814,0.75
U21_GK,U21,GK,stay_6m,350,127,0.078252,0.217613,0.065994,0.136044,2.0,3.6747816254622885,3.253120823216276,1.6105825374061495,6.472535472603398,0.193
U21_GK,U21,GK,move_6m,350,127,0.078252,0.217613,0.065994,0.136044,2.0,3.1161163770634936,2.9583821162406743,1.8368288641091721,4.559448928702722,0.142
U21_GK,U21,GK,stay_3m_move_3m,350,127,0.078252,0.217613,0.065994,0.136044,2.0,3.4007144392894224,3.0456351584964856,1.7346763311291078,5.592900787022483,0.164
29+_DEF,29+,DEF,stay_6m,264,27,-0.023098,0.051484,-0.049367,0.064596,2.0,1.7557939147798602,1.7481719201321355,1.4803030327574127,2.057167640709264,0.862
29+_DEF,29+,DEF,move_6m,264,27,-0.023098,0.051484,-0.049367,0.064596,2.0,1.4995056486932172,1.4841219630015312,1.183557489121644,1.822501197710757,0.967
29+_DEF,29+,DEF,stay_3m_move_3m,264,27,-0.023098,0.051484,-0.049367,0.064596,2.0,1.6232065052028415,1.5991732658397,1.3375057577151666,1.9503650199700464,0.94
29+_MID,29+,MID,stay_6m,244,30,-0.030987,0.044704,-0.030193,0.04127,2.0,1.6712940207110278,1.6664712254215912,1.4423705289298672,1.9194406368524812,0.962
29+_MID,29+,MID,move_6m,244,30,-0.030987,0.044704,-0.030193,0.04127,2.0,1.6723176563020057,1.6663465361440624,1.4420312506243922,1.8999997607641201,0.96
29+_MID,29+,MID,stay_3m_move_3m,244,30,-0.030987,0.044704,-0.030193,0.04127,2.0,1.6723789871263177,1.6581458660685504,1.4547390864480043,1.9194037998291678,0.963
29+_FWD,29+,FWD,stay_6m,237,32,-0.025494,0.07506,-0.027596,0.059335,2.0,1.7463674810791765,1.7263883724650877,1.354650291531869,2.188733998512757,0.792
29+_FWD,29+,FWD,move_6m,237,32,-0.025494,0.07506,-0.027596,0.059335,2.0,1.7059444227314695,1.6915108707601068,1.3740386917376484,2.0427174761162874,0.868
29+_FWD,29+,FWD,stay_3m_move_3m,237,32,-0.025494,0.07506,-0.027596,0.059335,2.0,1.727297392623885,1.696041683682433,1.379379848728342,2.131197136424337,0.825
